ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.051785946,0.260052285,-0.14389376,7.300211906,0.960781753,1.716721064,10.37978268,1.307553124,2.963135481,FALSE
3.716080189,-2.045395627,-0.390888389,6.6352458,-0.001133439,2.071157214,15.1800127,-0.637434956,4.500656128,FALSE
8.099123955,0.851044495,-0.244665667,9.275883675,-0.001133439,-0.090421765,16.86863708,0.002672434,3.055933714,FALSE
8.316765785,0.549745428,-0.003657488,8.059332848,0.640702435,-0.776798167,18.43652534,2.154433936,4.628770351,FALSE
9.092223167,-0.466673017,-0.465294694,6.546599865,-0.645921485,-0.340904331,11.55827904,-2.180838194,4.075075626,FALSE
5.584086418,-0.246360439,0.765495971,7.544868946,-0.190649469,-1.803746332,8.399734497,-0.726952991,2.559708118,FALSE
10.22386169,1.579191521,0.765613602,7.513408661,1.652854111,-1.764258807,13.78969574,1.156111397,2.672988653,FALSE
8.635848999,0.213345177,-0.957498284,4.563008785,-0.833779595,0.604162217,12.36381626,-0.227069414,4.401424885,FALSE
7.051785946,-2.364153224,-0.887386733,7.80417347,-1.7877403,-0.452968217,12.70604897,-0.789689734,3.595017195,FALSE
11.1802845,0.942545211,0.392456662,9.077199936,1.9384749,1.711472664,17.92780685,0.355140818,4.370562077,FALSE
7.360640049,-0.942646412,1.18879088,7.550701141,-0.192136054,-0.006364103,15.58681011,0.784167073,3.662291765,FALSE
7.974521637,0.681713517,-0.375163356,8.110384941,-0.001133439,-0.766482296,14.52574539,0.641181551,4.011718273,FALSE
7.119824409,-1.211959501,-0.379373736,3.606036186,-1.41078022,-0.969682711,15.92953587,0.832424989,3.445756197,FALSE
7.051785946,-1.411445464,0.603520091,6.838223457,-0.940947233,-0.572207112,19.37080765,0.642709408,4.413974285,FALSE
7.496232033,0.273937627,0.724276295,5.072557926,-0.001133439,0.232541022,13.22831154,0.248801598,4.777382374,FALSE
6.347271919,-0.294641231,2.173064359,9.62959671,0.849906053,1.126769332,11.53978157,0.551468239,4.376348495,FALSE
7.051785946,0.448201286,1.020565164,10.09479618,-0.001133439,-1.373694017,20.39702225,-0.616975855,4.268428802,FALSE
9.181559563,2.365583056,0.227525949,6.904989719,1.781849347,0.645923064,13.38734055,0.322203575,4.503660679,FALSE
8.975464821,2.534926619,-0.295994899,6.204320908,-0.001133439,0.068805043,12.88875866,-0.162181718,2.436085701,FALSE
7.371050358,0.553509499,0.40912051,4.432669163,0.059133712,0.545954039,12.50916386,-0.22713499,2.560299158,FALSE
7.051785946,0.948763968,0.029158837,10.33391762,-0.001133439,1.599034433,16.33169365,-1.331793362,4.133422852,FALSE
6.66021204,-0.858241261,1.016423755,5.85876894,-0.624039295,1.212697583,17.88423538,0.67647664,3.749701262,FALSE
7.051785946,0.598759923,-0.564921988,5.607060432,-0.183340008,0.12849054,14.18906212,-0.413743315,5.459250927,FALSE
3.902475595,0.016051931,-0.100902702,6.996311665,-0.001133439,0.230476258,16.60903358,1.509950836,4.528522491,FALSE
5.400301933,-1.699700569,-0.54670885,10.05685234,-0.144417525,0.58266104,11.25638103,-0.599195222,4.824786186,FALSE
6.514415264,0.072998244,-0.09505107,8.670936584,-0.275470463,-0.156353031,14.89999962,0.854440258,5.200885296,FALSE
3.445061922,0.352792463,1.29989131,8.782147408,1.387099804,0.197075151,13.80590248,-2.289524733,4.184396744,FALSE
7.051785946,-1.546066815,-1.008600513,7.90644455,-0.814729475,-1.57400944,12.72952461,-1.06828888,4.004870892,FALSE
7.051785946,2.139741605,0.492849114,7.700063705,1.70035847,-0.761746019,10.34895039,-0.848077868,3.991564274,FALSE
7.051785946,-1.473211185,-0.78363756,9.046833038,-0.731896472,1.710471131,16.56865501,-0.869150144,6.03818512,FALSE
7.18144846,0.404705409,-0.783315582,5.994678497,0.130193299,-1.039185584,7.922598362,0.327316112,5.088860035,FALSE
9.825489998,-0.17172043,-0.271139079,6.757540703,-0.001133439,0.334132335,16.89903831,-1.224010251,2.85747242,FALSE
10.43329144,-2.400730902,0.031595827,8.161504745,-0.712748926,-0.160118434,12.89070892,-0.04088189,5.057310581,FALSE
7.414148331,1.181225522,1.200589008,6.845952034,1.474295134,-0.172564552,10.24481487,-1.388472396,3.160624504,FALSE
7.051785946,1.096785877,-0.830060002,5.474915028,-0.001133439,-0.519868087,12.16693687,1.249813494,5.029166698,FALSE
5.11581707,-0.135180276,-0.277692925,6.060712814,-0.26886398,0.196609964,10.96648598,-1.087231255,3.902088881,FALSE
3.641629696,-0.380916064,0.30875194,5.538314342,-1.308525031,0.3840402,9.034067154,0.457779693,3.464353085,FALSE
5.618064404,3.294943555,-0.544951084,6.101083279,-0.001133439,-0.327748131,12.2650013,0.964887318,2.896546841,FALSE
7.051785946,-1.616770281,-0.240924917,5.8907547,-0.001133439,0.015307025,22.4698925,-0.84073767,2.907563925,FALSE
9.267187119,0.068325668,0.300940762,6.110612392,-0.152142726,-0.359928927,16.4719696,-2.283262795,4.32400465,FALSE
7.051785946,1.145008402,-1.182425858,4.599388123,-0.676096635,-0.948788661,18.33889198,-1.503403089,3.510004044,FALSE
5.331940651,-0.045937071,-0.616160374,7.993829727,-0.465948993,-1.125893562,10.18051338,-0.431680025,4.434820175,FALSE
7.145771503,1.292587946,0.769113287,6.81402874,1.441278676,-1.164189921,11.09316349,-0.015218542,5.182590485,FALSE
9.92069149,0.196725465,-1.380133835,6.882248402,0.103060189,-1.149805461,23.91760063,0.346071437,4.690707207,FALSE
4.758439541,-0.398000984,-0.05508337,4.731348991,-0.001133439,-0.272274298,18.66823006,0.033901304,4.54280138,FALSE
5.702926159,0.625417468,1.54921869,7.184350967,-0.001133439,0.976631271,16.14079094,0.707804238,4.137739182,FALSE
6.953864098,0.405093236,-1.31142102,4.462707043,-0.495357334,-0.430534395,13.28533363,1.332921742,3.195710421,FALSE
10.68296623,-0.702694007,-0.71903044,5.570783615,-0.722516711,-1.266201756,10.0908699,0.767215944,3.99977541,FALSE
7.051785946,-2.031109405,1.413154853,6.321928978,-0.80005428,0.551096456,18.5994091,0.38222894,4.405585766,FALSE
8.757257462,0.116501579,-0.058763853,4.915101051,-0.432710808,-0.262679107,13.76832294,-1.170161647,3.626135349,FALSE
7.051785946,-0.855043549,0.621913358,7.046224594,-0.929809606,-0.522183802,16.18206596,0.59319562,3.048057318,FALSE
7.809631824,-2.930253156,-1.14704085,5.212314606,-2.37796187,2.224145065,9.611349106,-0.018635772,2.447444439,FALSE
6.652488232,-1.569222726,-0.248980063,4.961066246,-1.253686014,1.489329032,10.94202423,0.339334252,3.742090464,FALSE
